S_Q_AB_nCi_2_NS7_C_KA_c_MAS,MX_B_AB_nCi_2_SS6_C_SRW_c-p_MAS,S_TrB_AB_nCi_3_M26(M8)_SS4_T_KA_m-r_MID,VC_TrC_AB_nCi_3_M26(M5)_NS5_T_KA_h_MID,P3_F_AB_nCi_2_NS1_H_T_NSRW_e_MAS,SD_F_BB_Ci(2.0;-2.0)_2_SS1_H_T_KA_e_MAS,Q3_B_AB_nCi_2_NS3_T_LGP[1]_h-s_MAS,SD_Q_AB_Ci(2.0;-2.0)_2_SS2_H_n_X_LGP[2-4]_p_MAS,VC_B_AB_nCi_2_NS7_X_NSRW_r-m_MAS,VC_TrQB_AB_nCi_3_M22(M16)_SS1_T_LG3L[2-3]_LGL[2-3]_m-p_MID,S_Q_BB_Ci(2.0;-2.0)_2_MP1_H_T_KA_c_MAS,Q2_B_AB_nCi_2_NS1_T_NSRW_h-s_MAS,MX_TrB_AB_nCi_3_M20(M8)_SS6_T_KA_m-r_MID,MX_B_AB_nCi_2_SS1_n_X_LGP[1-3]_p-h_MAS,ES_RA_TrC_AB_nCi_3_M27_SS0_T_KA_v_MID,N1_Q_AB_nCi_2_MP7_H_n_T_LGP[1]_v_MAS,TS[1]_K_TrC_AB_nCi_3_M27_NS0_T_KA_p_MID,S_B_AB_nCi_2_NS3_X_KA_e-c_MAS,P3_F_AB_nCi_2_SS2_X_SRW_p_MAS,S_TrB_AB_nCi_3_M27_SS1_T_KA_r-p_MID,MN_Tr_AB_nCi_3_M20(M8)_NS1_X_KA_a-e-v_MID,K_TrQB_AB_nCi_3_M26(M8)_NS5_X_KA_r-p_MID,I50_TrC_AB_nCi_3_M20(M5)_NS7_C_KA_h_MID,RA_TrB_AB_nCi_3_M21(M1)_MP0_T_KA_r-p_MID,S_TrQB_AB_nCi_3_M22(M1)_SS1_T_LG3L[1-2]_LGL[1-2]_r-p_MID,AC[1]_I50_TrB_AB_nCi_3_M20(M15)_SS5_T_KA_e-v_MID,S_Q_AB_Ci(2.0;-2.0)_2_SS1_H_n_T_KA_c_MAS,MX_TrB_AB_nCi_3_M26(M8)_SS7_C_KA_m-r_MID,MN_Tr_AB_nCi_3_M19(M11)_SS1_X_KA_a-e-v_MID,K_Tr_AB_nCi_3_M22(M5)_SS5_T_KA_a-e-v_MID,MN_TrB_AB_nCi_3_M25(M15)_SS6_T_KA_m-r_MID,S_B_AB_nCi_2_NS5_X_NSRW_c-m_MAS,MX_TrQB_AB_nCi_3_M26(M1)_SS7_C_KA_r-p_MID,GV[3]_K_Tr_AB_nCi_3_M25(M13)_SS6_T_KA_m-a-c_MID,P3_F_AB_nCi_2_SS2_H_T_NSRW_e_MAS,MN_Tr_AB_nCi_3_M26(M8)_NS1_X_KA_a-e-v_MID,RA_TrF_AB_nCi_3_M21(M11)_SS3_T_LG3L[2-3]_LGL[2-3]_p_MID,MN_F_AB_nCi_2_SS2_T_LGP[1;2;6]_p_MAS,I50_TrF_AB_nCi_3_M21(M5)_NS7_T_LGA[0.0-1.0]_h_MID,SD_F_AB_nCi_2_NS2_X_KA_e_MAS,S_TrQB_AB_nCi_3_M26(M14)_SS1_T_KA_r-p_MID,N3_B_AB_nCi_2_NS4_n_T_KA_e-h_MAS,IB_K_Tr_AB_nCi_3_M28_NS2_T_KA_a-v-p_MID,K_TrQB_AB_nCi_3_M21(M5)_SS1_T_KA_r-p_MID,I50_TrF_AB_nCi_3_M27_MP1_T_KA_p_MID,PEOE_VSA2,SMR_VSA10,SMR_VSA3,SMR_VSA6,SlogP_VSA1,TPSA,VSA_EState2,NOCount,fr_NH0,fr_allylic_oxid,Target
-0.705094204,0.032780234,1.819642457,0.129721543,6.869306802,0.171115921,12.11763344,0,0,0.315852708,2.776795605,2.133774243,5.590770746,0,1.09E-11,165.6460324,-0.636480298,0,0,2.097569753,0,0,0.153927002,0.35054395,1.948688367,560.3102453,2.182982458,5.767177432,0,2.009363988,1.223190859,0,84.83549814,9.254822178,1.82686634,0,2.153803022,2.3833125,4.05033912,0,0.16663562,315.6176411,8.07791239,6.792615092,0.019319598,0,0,0,0,0,0,0,0,0,1,2.57
-0.9649062,0.033499312,2.183514831,0.148221844,6.835106465,0.172370982,12.02918383,0,0,0.33339299,2.825554802,2.087863468,4.736328722,0,1.46E-11,162.9469991,-0.25924231,0,0,1.535472736,0,0,0.210500876,0.297923205,2.557634072,3077.161982,2.345474459,4.827947543,0,-0.051421971,1.192413779,0,116.1198186,0.975391709,1.816827343,0,2.122464768,2.4331875,4.051275721,0,-0.255754708,311.5518871,4.233169056,7.219641176,0.01642377,0,0,0,0,0,0,0,0,0,1,2.33
-1.094368223,0.033679082,2.291892401,0.147616604,6.822076114,0.172836143,11.69566626,0,0,0.638821024,2.837100029,2.095720606,4.992740763,0,1.09E-11,161.8529883,-0.065005608,0,0,1.052488491,0,0,0.266038116,0.277107637,2.419113362,2092.29733,2.420634675,5.167521984,0,-0.977313238,1.249362027,0,77.06125515,7.372914271,1.812999717,0,2.294715196,2.44565625,1.941798781,0,-1.734769669,307.7679444,3.363819345,5.523121474,0.007325815,0,0,0,0,0,0,0,0,0,1,1.52
-1.422260835,0.034038621,1.210698452,0.137746105,6.793003788,0.173849041,10.87421576,0,0,0.598843582,2.838377786,2.0915426,4.46429609,0,7.28E-12,159.2675842,0.581206616,0,0,2.145311772,0,0,0.192364702,0.225311851,3.423004731,1872.174251,2.625613405,4.542690394,0,-0.759440658,1.1292133,0,77.72099001,15.98627409,1.804454227,0,1.704637539,2.47059375,5.15402445,0,-1.437502357,302.1148822,2.047280169,6.588092162,0.006756093,0,0,0,0,0,0,0,0,0,1,1.69
-0.871243745,0.045819313,0.475217826,0.243548528,6.673690791,0.293492106,12.7150288,0,0,0.317441036,-2.267849681,1.999705181,4.922099715,0,0,186.5927593,-0.010740802,0,0,-0.040796607,0,0,3.021404643,0.588159782,1.018357738,138.1785557,0.179362858,5.022332425,0,-3.146004419,1.733232481,0,61.29731113,0,1.721091744,0,1.348541315,0.991583333,1.319358132,0,0.497247999,271.1205154,-1.48950583,-2.953427851,0.048378121,0,0,0,0,0,0,0,0,0,1,-2.77
1.408621217,0.034847366,1.28097813,0.155684719,6.961991272,0.294437512,20.40187228,0,0,0.444956679,0.327412271,2.156515554,5.923162119,0,3.64E-12,181.8500543,-1.212045103,0,0,0.531360211,0,0,0.486001834,0.537277322,0.40832174,1421.849963,2.523443871,6.153089088,0,-2.209990774,1.353969936,0,106.763633,2.981690086,1.819074746,0,1.626152826,2.055091667,6.313584362,0,1.178607482,415.1939281,-0.074266851,1.75965507,0.0234969,0,0,0,0,0,0,0,0,0,2,0.08
0.985511379,0.028450246,0.756901056,0.291037909,6.684832898,0.362048743,17.97552771,0,0,0.120198689,-0.220191975,1.931317195,6.304547988,0,0,203.2538828,1.560932888,0,0,-1.767211181,0,0,2.156568632,0.68334892,1.072595191,4199.797255,2.405243832,6.500220105,0,0.835281465,1.000911494,0,80.75483947,0,1.848385544,0,0.459858404,2.266625,1.906171724,0,1.0148887,426.5789313,0.839316938,-2.468680955,0.042336033,0,0,0,0,0,0,0,0,0,2,0.65
-2.488205748,0.010771305,-1.057346188,0.315613612,6.491063605,0.396131493,14.75392059,0,0,0.424737891,-0.457871961,2.174277099,4.9864706,0,3.64E-12,125.0163025,0.117093636,0,0,0.217801773,0,0,0.663824012,0.65613029,0.026428566,27.10507036,0.400924494,3.643463206,0,-0.579611535,1.068679207,0,88.40760971,5.583321945,1.920841763,0,2.712386959,1.578272436,1.324795999,0,-1.083120542,742.3335619,0.657994779,-1.241460383,0.016895711,0,6.076020107,0,0,0,0,0,0,0,0,1.7
-0.998683125,0.025676686,0.999583768,0.259990363,7.088536121,0.321545092,18.97579948,0,0,0.342461274,-1.09065511,2.580752727,6.420605094,0,0,217.1356882,1.617860506,0,0,-1.981661869,0,0,1.654033654,0.71350464,-0.625947112,1624.916606,1.503220878,6.58143999,0,0.811189099,1.230869287,0,89.32823154,0,1.845866701,0,2.593059039,1.4918125,1.950260096,0,0.826885838,493.0164449,3.303417185,-1.24614295,0.045392154,0,0,0,0,0,0,0,0,0,2,1.1
-0.140902216,0.041294089,1.194414204,0.327734762,6.685879645,0.274899534,19.41421778,0,0,0.290654163,3.345812245,1.863187378,5.185811431,0,3.64E-12,176.3289119,5.307116176,0,0,1.215868042,0,0,1.311297357,0.534753152,0.919559823,2216.358421,1.940126207,5.276962451,0,-1.508079699,1.107971854,0,79.83517129,-3.020623145,1.983338981,0,2.243482704,2.695178571,5.162577596,0,0.45837386,385.9186058,-0.996127666,0.554593942,0.054632676,0,0,0,0,0,0,0,0,0,1,0.06
-0.377777373,0.034776123,1.227465184,0.376820279,6.6839967,0.221169377,17.00735276,0,0,0.370935224,0.801872552,2.351643934,5.683548021,0,0,177.4140683,-0.538094692,0,0,-0.044547567,0,0,1.41075197,0.449373715,0.577692503,3957.744557,2.146879879,5.936410675,0,-1.510001405,0.958671419,0,94.37430506,1.248664599,2.009362799,0,3.036802923,1.095235714,7.262907547,0,0.482593018,381.0206255,0.938007084,-1.48049783,0.052381069,0,0,0,0,0,0,0,0,0,1,0.79
0.792797282,0.029835563,1.480166049,0.250552596,6.681358792,0.237907099,15.70064619,0,0,0.565527166,1.333039176,2.00394128,6.337347449,0,0,200.1319662,1.853206775,0,0,-1.04063244,0,0,0.629809917,0.704851066,0.990582374,1591.071856,2.238542052,6.496060747,0,-0.241359097,1.39613271,0,71.98705113,0,1.862844523,0,3.087995955,1.601035714,0.36658655,0,-0.618784556,373.6531166,3.547481505,1.124528329,0.034653444,0,0,0,0,0,0,0,0,0,1,1
